geoName,desolate
Alabama,48
Alaska,0
Arizona,68
Arkansas,88
California,59
Colorado,53
Connecticut,72
Delaware,24
District of Columbia,42
Florida,56
Georgia,63
Hawaii,46
Idaho,64
Illinois,54
Indiana,65
Iowa,52
Kansas,46
Kentucky,65
Louisiana,40
Maine,51
Maryland,63
Massachusetts,67
Michigan,48
Minnesota,41
Mississippi,70
Missouri,35
Montana,47
Nebraska,58
Nevada,70
New Hampshire,39
New Jersey,70
New Mexico,51
New York,56
North Carolina,65
North Dakota,83
Ohio,68
Oklahoma,50
Oregon,35
Pennsylvania,70
Rhode Island,63
South Carolina,45
South Dakota,100
Tennessee,52
Texas,58
Utah,85
Vermont,55
Virginia,46
Washington,50
West Virginia,46
Wisconsin,78
Wyoming,0
