date,desolate,isPartial
2013-01-06,66,False
2013-01-13,88,False
2013-01-20,48,False
2013-01-27,69,False
2013-02-03,68,False
2013-02-10,74,False
2013-02-17,81,False
2013-02-24,88,False
2013-03-03,66,False
2013-03-10,63,False
2013-03-17,73,False
2013-03-24,67,False
2013-03-31,59,False
2013-04-07,73,False
2013-04-14,49,False
2013-04-21,85,False
2013-04-28,61,False
2013-05-05,65,False
2013-05-12,86,False
2013-05-19,57,False
2013-05-26,48,False
2013-06-02,59,False
2013-06-09,47,False
2013-06-16,70,False
2013-06-23,46,False
2013-06-30,56,False
2013-07-07,53,False
2013-07-14,49,False
2013-07-21,52,False
2013-07-28,49,False
2013-08-04,38,False
2013-08-11,48,False
2013-08-18,59,False
2013-08-25,74,False
2013-09-01,73,False
2013-09-08,74,False
2013-09-15,80,False
2013-09-22,87,False
2013-09-29,94,False
2013-10-06,90,False
2013-10-13,92,False
2013-10-20,84,False
2013-10-27,94,False
2013-11-03,83,False
2013-11-10,92,False
2013-11-17,95,False
2013-11-24,88,False
2013-12-01,99,False
2013-12-08,100,False
2013-12-15,97,False
2013-12-22,81,False
2013-12-29,62,False
