date,discontented,isPartial
2015-01-04,69,False
2015-01-11,86,False
2015-01-18,10,False
2015-01-25,76,False
2015-02-01,74,False
2015-02-08,93,False
2015-02-15,29,False
2015-02-22,56,False
2015-03-01,28,False
2015-03-08,19,False
2015-03-15,38,False
2015-03-22,75,False
2015-03-29,30,False
2015-04-05,30,False
2015-04-12,67,False
2015-04-19,98,False
2015-04-26,59,False
2015-05-03,40,False
2015-05-10,50,False
2015-05-17,52,False
2015-05-24,0,False
2015-05-31,63,False
2015-06-07,21,False
2015-06-14,32,False
2015-06-21,21,False
2015-06-28,11,False
2015-07-05,0,False
2015-07-12,21,False
2015-07-19,42,False
2015-07-26,10,False
2015-08-02,0,False
2015-08-09,21,False
2015-08-16,62,False
2015-08-23,31,False
2015-08-30,70,False
2015-09-06,71,False
2015-09-13,49,False
2015-09-20,96,False
2015-09-27,96,False
2015-10-04,58,False
2015-10-11,58,False
2015-10-18,85,False
2015-10-25,57,False
2015-11-01,37,False
2015-11-08,75,False
2015-11-15,84,False
2015-11-22,31,False
2015-11-29,100,False
2015-12-06,37,False
2015-12-13,19,False
2015-12-20,66,False
2015-12-27,20,False
