date,discontented,isPartial
2014-01-05,57,False
2014-01-12,79,False
2014-01-19,57,False
2014-01-26,22,False
2014-02-02,71,False
2014-02-09,33,False
2014-02-16,56,False
2014-02-23,44,False
2014-03-02,76,False
2014-03-09,34,False
2014-03-16,22,False
2014-03-23,45,False
2014-03-30,90,False
2014-04-06,45,False
2014-04-13,69,False
2014-04-20,23,False
2014-04-27,46,False
2014-05-04,46,False
2014-05-11,35,False
2014-05-18,26,False
2014-05-25,41,False
2014-06-01,40,False
2014-06-08,27,False
2014-06-15,14,False
2014-06-22,0,False
2014-06-29,0,False
2014-07-06,14,False
2014-07-13,41,False
2014-07-20,27,False
2014-07-27,27,False
2014-08-03,14,False
2014-08-10,26,False
2014-08-17,13,False
2014-08-24,52,False
2014-08-31,78,False
2014-09-07,62,False
2014-09-14,100,False
2014-09-21,63,False
2014-09-28,38,False
2014-10-05,63,False
2014-10-12,37,False
2014-10-19,50,False
2014-10-26,75,False
2014-11-02,0,False
2014-11-09,25,False
2014-11-16,87,False
2014-11-23,53,False
2014-11-30,59,False
2014-12-07,37,False
2014-12-14,0,False
2014-12-21,15,False
2014-12-28,69,False
