date,dog days,isPartial
2016-01-03,54,False
2016-01-10,55,False
2016-01-17,58,False
2016-01-24,53,False
2016-01-31,51,False
2016-02-07,47,False
2016-02-14,49,False
2016-02-21,63,False
2016-02-28,67,False
2016-03-06,59,False
2016-03-13,47,False
2016-03-20,48,False
2016-03-27,52,False
2016-04-03,64,False
2016-04-10,59,False
2016-04-17,59,False
2016-04-24,59,False
2016-05-01,59,False
2016-05-08,71,False
2016-05-15,63,False
2016-05-22,73,False
2016-05-29,76,False
2016-06-05,74,False
2016-06-12,80,False
2016-06-19,87,False
2016-06-26,84,False
2016-07-03,91,False
2016-07-10,98,False
2016-07-17,93,False
2016-07-24,98,False
2016-07-31,97,False
2016-08-07,100,False
2016-08-14,87,False
2016-08-21,88,False
2016-08-28,70,False
2016-09-04,64,False
2016-09-11,63,False
2016-09-18,52,False
2016-09-25,54,False
2016-10-02,49,False
2016-10-09,52,False
2016-10-16,64,False
2016-10-23,58,False
2016-10-30,51,False
2016-11-06,44,False
2016-11-13,52,False
2016-11-20,49,False
2016-11-27,51,False
2016-12-04,51,False
2016-12-11,49,False
2016-12-18,59,False
2016-12-25,57,False
