date,dog days,isPartial
2013-01-06,76,False
2013-01-13,79,False
2013-01-20,81,False
2013-01-27,72,False
2013-02-03,70,False
2013-02-10,66,False
2013-02-17,64,False
2013-02-24,63,False
2013-03-03,58,False
2013-03-10,64,False
2013-03-17,71,False
2013-03-24,61,False
2013-03-31,65,False
2013-04-07,59,False
2013-04-14,56,False
2013-04-21,52,False
2013-04-28,56,False
2013-05-05,58,False
2013-05-12,63,False
2013-05-19,71,False
2013-05-26,67,False
2013-06-02,74,False
2013-06-09,73,False
2013-06-16,88,False
2013-06-23,75,False
2013-06-30,83,False
2013-07-07,100,False
2013-07-14,95,False
2013-07-21,91,False
2013-07-28,97,False
2013-08-04,99,False
2013-08-11,81,False
2013-08-18,90,False
2013-08-25,73,False
2013-09-01,70,False
2013-09-08,59,False
2013-09-15,56,False
2013-09-22,52,False
2013-09-29,57,False
2013-10-06,51,False
2013-10-13,54,False
2013-10-20,43,False
2013-10-27,50,False
2013-11-03,49,False
2013-11-10,46,False
2013-11-17,56,False
2013-11-24,77,False
2013-12-01,62,False
2013-12-08,63,False
2013-12-15,57,False
2013-12-22,51,False
2013-12-29,55,False
