date,dog days,isPartial
2015-01-04,47,False
2015-01-11,51,False
2015-01-18,56,False
2015-01-25,52,False
2015-02-01,46,False
2015-02-08,46,False
2015-02-15,50,False
2015-02-22,56,False
2015-03-01,45,False
2015-03-08,53,False
2015-03-15,49,False
2015-03-22,54,False
2015-03-29,55,False
2015-04-05,43,False
2015-04-12,46,False
2015-04-19,46,False
2015-04-26,48,False
2015-05-03,41,False
2015-05-10,45,False
2015-05-17,50,False
2015-05-24,51,False
2015-05-31,62,False
2015-06-07,52,False
2015-06-14,57,False
2015-06-21,61,False
2015-06-28,63,False
2015-07-05,71,False
2015-07-12,66,False
2015-07-19,68,False
2015-07-26,100,False
2015-08-02,92,False
2015-08-09,84,False
2015-08-16,74,False
2015-08-23,74,False
2015-08-30,59,False
2015-09-06,59,False
2015-09-13,44,False
2015-09-20,48,False
2015-09-27,47,False
2015-10-04,45,False
2015-10-11,41,False
2015-10-18,44,False
2015-10-25,36,False
2015-11-01,44,False
2015-11-08,35,False
2015-11-15,43,False
2015-11-22,42,False
2015-11-29,50,False
2015-12-06,44,False
2015-12-13,42,False
2015-12-20,43,False
2015-12-27,48,False
