geoName,suffering
Alabama,77
Alaska,61
Arizona,80
Arkansas,88
California,72
Colorado,59
Connecticut,65
Delaware,71
District of Columbia,57
Florida,63
Georgia,68
Hawaii,73
Idaho,64
Illinois,61
Indiana,83
Iowa,68
Kansas,69
Kentucky,77
Louisiana,78
Maine,79
Maryland,72
Massachusetts,63
Michigan,69
Minnesota,63
Mississippi,100
Missouri,72
Montana,69
Nebraska,72
Nevada,52
New Hampshire,74
New Jersey,66
New Mexico,90
New York,62
North Carolina,72
North Dakota,67
Ohio,73
Oklahoma,85
Oregon,70
Pennsylvania,73
Rhode Island,74
South Carolina,76
South Dakota,58
Tennessee,72
Texas,64
Utah,57
Vermont,91
Virginia,75
Washington,64
West Virginia,73
Wisconsin,64
Wyoming,67
