geoName,suffering
Alabama,92
Alaska,49
Arizona,65
Arkansas,93
California,72
Colorado,66
Connecticut,62
Delaware,71
District of Columbia,71
Florida,68
Georgia,68
Hawaii,70
Idaho,70
Illinois,69
Indiana,100
Iowa,68
Kansas,60
Kentucky,70
Louisiana,91
Maine,68
Maryland,64
Massachusetts,77
Michigan,69
Minnesota,74
Mississippi,76
Missouri,79
Montana,59
Nebraska,77
Nevada,62
New Hampshire,79
New Jersey,66
New Mexico,85
New York,69
North Carolina,81
North Dakota,52
Ohio,78
Oklahoma,76
Oregon,47
Pennsylvania,72
Rhode Island,94
South Carolina,79
South Dakota,47
Tennessee,84
Texas,65
Utah,64
Vermont,74
Virginia,72
Washington,68
West Virginia,75
Wisconsin,64
Wyoming,46
