geoName,suffering
Alabama,88
Alaska,92
Arizona,81
Arkansas,81
California,66
Colorado,63
Connecticut,68
Delaware,69
District of Columbia,61
Florida,65
Georgia,67
Hawaii,58
Idaho,71
Illinois,64
Indiana,100
Iowa,79
Kansas,63
Kentucky,67
Louisiana,67
Maine,83
Maryland,72
Massachusetts,66
Michigan,63
Minnesota,63
Mississippi,75
Missouri,82
Montana,77
Nebraska,70
Nevada,63
New Hampshire,66
New Jersey,71
New Mexico,79
New York,60
North Carolina,64
North Dakota,63
Ohio,74
Oklahoma,56
Oregon,52
Pennsylvania,66
Rhode Island,98
South Carolina,68
South Dakota,61
Tennessee,70
Texas,64
Utah,56
Vermont,54
Virginia,66
Washington,68
West Virginia,78
Wisconsin,58
Wyoming,56
