geoName,suffering
Alabama,76
Alaska,79
Arizona,78
Arkansas,100
California,75
Colorado,76
Connecticut,74
Delaware,86
District of Columbia,64
Florida,66
Georgia,72
Hawaii,95
Idaho,75
Illinois,71
Indiana,93
Iowa,80
Kansas,88
Kentucky,94
Louisiana,81
Maine,74
Maryland,85
Massachusetts,72
Michigan,80
Minnesota,75
Mississippi,86
Missouri,72
Montana,88
Nebraska,69
Nevada,68
New Hampshire,96
New Jersey,83
New Mexico,96
New York,72
North Carolina,83
North Dakota,67
Ohio,77
Oklahoma,75
Oregon,73
Pennsylvania,82
Rhode Island,75
South Carolina,87
South Dakota,90
Tennessee,86
Texas,74
Utah,70
Vermont,58
Virginia,86
Washington,76
West Virginia,87
Wisconsin,73
Wyoming,51
