geoName,suffering
Alabama,72
Alaska,78
Arizona,70
Arkansas,84
California,74
Colorado,66
Connecticut,80
Delaware,59
District of Columbia,68
Florida,65
Georgia,70
Hawaii,100
Idaho,71
Illinois,70
Indiana,86
Iowa,70
Kansas,80
Kentucky,86
Louisiana,73
Maine,64
Maryland,78
Massachusetts,83
Michigan,72
Minnesota,86
Mississippi,69
Missouri,85
Montana,61
Nebraska,75
Nevada,79
New Hampshire,76
New Jersey,80
New Mexico,86
New York,69
North Carolina,89
North Dakota,70
Ohio,87
Oklahoma,81
Oregon,89
Pennsylvania,84
Rhode Island,99
South Carolina,98
South Dakota,71
Tennessee,79
Texas,69
Utah,78
Vermont,73
Virginia,78
Washington,82
West Virginia,88
Wisconsin,73
Wyoming,89
