date,withdrawn,isPartial
2016-01-03,66,False
2016-01-10,71,False
2016-01-17,73,False
2016-01-24,77,False
2016-01-31,92,False
2016-02-07,75,False
2016-02-14,96,False
2016-02-21,65,False
2016-02-28,80,False
2016-03-06,81,False
2016-03-13,77,False
2016-03-20,61,False
2016-03-27,80,False
2016-04-03,89,False
2016-04-10,100,False
2016-04-17,89,False
2016-04-24,79,False
2016-05-01,81,False
2016-05-08,74,False
2016-05-15,68,False
2016-05-22,64,False
2016-05-29,54,False
2016-06-05,61,False
2016-06-12,46,False
2016-06-19,55,False
2016-06-26,58,False
2016-07-03,56,False
2016-07-10,75,False
2016-07-17,55,False
2016-07-24,64,False
2016-07-31,63,False
2016-08-07,47,False
2016-08-14,49,False
2016-08-21,61,False
2016-08-28,58,False
2016-09-04,54,False
2016-09-11,68,False
2016-09-18,68,False
2016-09-25,62,False
2016-10-02,67,False
2016-10-09,93,False
2016-10-16,77,False
2016-10-23,73,False
2016-10-30,61,False
2016-11-06,54,False
2016-11-13,65,False
2016-11-20,58,False
2016-11-27,73,False
2016-12-04,70,False
2016-12-11,80,False
2016-12-18,47,False
2016-12-25,51,False
