geoName,withdrawn
Alabama,75
Alaska,67
Arizona,71
Arkansas,78
California,73
Colorado,53
Connecticut,72
Delaware,100
District of Columbia,67
Florida,79
Georgia,72
Hawaii,56
Idaho,52
Illinois,57
Indiana,85
Iowa,95
Kansas,53
Kentucky,76
Louisiana,76
Maine,56
Maryland,63
Massachusetts,71
Michigan,62
Minnesota,59
Mississippi,63
Missouri,48
Montana,56
Nebraska,45
Nevada,72
New Hampshire,78
New Jersey,97
New Mexico,59
New York,73
North Carolina,71
North Dakota,36
Ohio,59
Oklahoma,58
Oregon,44
Pennsylvania,88
Rhode Island,30
South Carolina,53
South Dakota,91
Tennessee,66
Texas,68
Utah,37
Vermont,53
Virginia,60
Washington,59
West Virginia,41
Wisconsin,57
Wyoming,52
