date,withdrawn,isPartial
2013-01-06,61,False
2013-01-13,59,False
2013-01-20,83,False
2013-01-27,79,False
2013-02-03,76,False
2013-02-10,83,False
2013-02-17,67,False
2013-02-24,72,False
2013-03-03,89,False
2013-03-10,75,False
2013-03-17,88,False
2013-03-24,60,False
2013-03-31,83,False
2013-04-07,91,False
2013-04-14,93,False
2013-04-21,72,False
2013-04-28,73,False
2013-05-05,75,False
2013-05-12,62,False
2013-05-19,58,False
2013-05-26,53,False
2013-06-02,49,False
2013-06-09,52,False
2013-06-16,74,False
2013-06-23,58,False
2013-06-30,58,False
2013-07-07,71,False
2013-07-14,52,False
2013-07-21,76,False
2013-07-28,69,False
2013-08-04,62,False
2013-08-11,47,False
2013-08-18,61,False
2013-08-25,63,False
2013-09-01,74,False
2013-09-08,100,False
2013-09-15,79,False
2013-09-22,76,False
2013-09-29,88,False
2013-10-06,93,False
2013-10-13,70,False
2013-10-20,90,False
2013-10-27,45,False
2013-11-03,86,False
2013-11-10,84,False
2013-11-17,67,False
2013-11-24,77,False
2013-12-01,58,False
2013-12-08,83,False
2013-12-15,67,False
2013-12-22,54,False
2013-12-29,71,False
