date,withdrawn,isPartial
2015-01-04,63,False
2015-01-11,63,False
2015-01-18,61,False
2015-01-25,74,False
2015-02-01,67,False
2015-02-08,72,False
2015-02-15,71,False
2015-02-22,68,False
2015-03-01,70,False
2015-03-08,73,False
2015-03-15,71,False
2015-03-22,59,False
2015-03-29,67,False
2015-04-05,57,False
2015-04-12,69,False
2015-04-19,72,False
2015-04-26,69,False
2015-05-03,98,False
2015-05-10,59,False
2015-05-17,65,False
2015-05-24,57,False
2015-05-31,42,False
2015-06-07,65,False
2015-06-14,54,False
2015-06-21,56,False
2015-06-28,54,False
2015-07-05,65,False
2015-07-12,66,False
2015-07-19,65,False
2015-07-26,45,False
2015-08-02,64,False
2015-08-09,41,False
2015-08-16,69,False
2015-08-23,76,False
2015-08-30,69,False
2015-09-06,60,False
2015-09-13,63,False
2015-09-20,100,False
2015-09-27,71,False
2015-10-04,80,False
2015-10-11,72,False
2015-10-18,86,False
2015-10-25,63,False
2015-11-01,76,False
2015-11-08,75,False
2015-11-15,49,False
2015-11-22,49,False
2015-11-29,66,False
2015-12-06,69,False
2015-12-13,54,False
2015-12-20,67,False
2015-12-27,50,False
