geoName,withdrawn
Alabama,98
Alaska,53
Arizona,43
Arkansas,62
California,62
Colorado,63
Connecticut,76
Delaware,68
District of Columbia,99
Florida,64
Georgia,63
Hawaii,50
Idaho,21
Illinois,49
Indiana,44
Iowa,49
Kansas,45
Kentucky,65
Louisiana,46
Maine,62
Maryland,57
Massachusetts,72
Michigan,65
Minnesota,40
Mississippi,42
Missouri,54
Montana,51
Nebraska,66
Nevada,71
New Hampshire,36
New Jersey,68
New Mexico,46
New York,60
North Carolina,63
North Dakota,42
Ohio,75
Oklahoma,42
Oregon,36
Pennsylvania,89
Rhode Island,58
South Carolina,72
South Dakota,44
Tennessee,57
Texas,49
Utah,62
Vermont,0
Virginia,77
Washington,45
West Virginia,70
Wisconsin,64
Wyoming,100
