geoName,withdrawn
Alabama,99
Alaska,66
Arizona,52
Arkansas,49
California,53
Colorado,50
Connecticut,55
Delaware,52
District of Columbia,54
Florida,49
Georgia,47
Hawaii,26
Idaho,75
Illinois,40
Indiana,25
Iowa,22
Kansas,36
Kentucky,80
Louisiana,39
Maine,41
Maryland,80
Massachusetts,50
Michigan,40
Minnesota,62
Mississippi,77
Missouri,53
Montana,18
Nebraska,21
Nevada,91
New Hampshire,74
New Jersey,52
New Mexico,47
New York,52
North Carolina,49
North Dakota,22
Ohio,47
Oklahoma,61
Oregon,32
Pennsylvania,46
Rhode Island,69
South Carolina,49
South Dakota,0
Tennessee,51
Texas,41
Utah,47
Vermont,100
Virginia,62
Washington,38
West Virginia,62
Wisconsin,41
Wyoming,0
