geoName,withdrawn
Alabama,27
Alaska,100
Arizona,23
Arkansas,40
California,25
Colorado,24
Connecticut,42
Delaware,44
District of Columbia,23
Florida,22
Georgia,21
Hawaii,11
Idaho,14
Illinois,29
Indiana,23
Iowa,19
Kansas,47
Kentucky,26
Louisiana,17
Maine,13
Maryland,46
Massachusetts,23
Michigan,19
Minnesota,21
Mississippi,11
Missouri,31
Montana,23
Nebraska,22
Nevada,21
New Hampshire,17
New Jersey,29
New Mexico,12
New York,23
North Carolina,20
North Dakota,28
Ohio,21
Oklahoma,16
Oregon,16
Pennsylvania,34
Rhode Island,15
South Carolina,37
South Dakota,56
Tennessee,27
Texas,23
Utah,12
Vermont,62
Virginia,32
Washington,25
West Virginia,30
Wisconsin,26
Wyoming,0
