geoName,drugs
Alabama,57
Alaska,44
Arizona,45
Arkansas,49
California,41
Colorado,42
Connecticut,45
Delaware,48
District of Columbia,43
Florida,44
Georgia,46
Hawaii,100
Idaho,46
Illinois,46
Indiana,48
Iowa,43
Kansas,42
Kentucky,53
Louisiana,55
Maine,49
Maryland,46
Massachusetts,47
Michigan,47
Minnesota,44
Mississippi,64
Missouri,48
Montana,46
Nebraska,45
Nevada,42
New Hampshire,48
New Jersey,47
New Mexico,43
New York,46
North Carolina,47
North Dakota,41
Ohio,46
Oklahoma,47
Oregon,28
Pennsylvania,51
Rhode Island,49
South Carolina,49
South Dakota,45
Tennessee,52
Texas,41
Utah,39
Vermont,80
Virginia,37
Washington,48
West Virginia,55
Wisconsin,43
Wyoming,47
