geoName,drugs
Alabama,61
Alaska,40
Arizona,49
Arkansas,58
California,45
Colorado,45
Connecticut,52
Delaware,55
District of Columbia,44
Florida,52
Georgia,50
Hawaii,100
Idaho,53
Illinois,49
Indiana,55
Iowa,47
Kansas,49
Kentucky,60
Louisiana,58
Maine,51
Maryland,51
Massachusetts,48
Michigan,54
Minnesota,43
Mississippi,63
Missouri,51
Montana,47
Nebraska,49
Nevada,47
New Hampshire,49
New Jersey,54
New Mexico,50
New York,51
North Carolina,52
North Dakota,43
Ohio,52
Oklahoma,50
Oregon,48
Pennsylvania,55
Rhode Island,54
South Carolina,56
South Dakota,50
Tennessee,56
Texas,44
Utah,46
Vermont,77
Virginia,48
Washington,55
West Virginia,72
Wisconsin,50
Wyoming,55
