geoName,drugs
Alabama,50
Alaska,37
Arizona,41
Arkansas,45
California,37
Colorado,38
Connecticut,41
Delaware,47
District of Columbia,37
Florida,40
Georgia,41
Hawaii,100
Idaho,36
Illinois,38
Indiana,44
Iowa,41
Kansas,40
Kentucky,46
Louisiana,51
Maine,37
Maryland,41
Massachusetts,41
Michigan,42
Minnesota,37
Mississippi,61
Missouri,42
Montana,44
Nebraska,38
Nevada,38
New Hampshire,44
New Jersey,43
New Mexico,41
New York,41
North Carolina,45
North Dakota,43
Ohio,43
Oklahoma,40
Oregon,40
Pennsylvania,46
Rhode Island,42
South Carolina,44
South Dakota,43
Tennessee,47
Texas,36
Utah,36
Vermont,68
Virginia,39
Washington,44
West Virginia,54
Wisconsin,40
Wyoming,45
