geoName,antidepressant
Alabama,49
Alaska,60
Arizona,46
Arkansas,60
California,43
Colorado,56
Connecticut,60
Delaware,40
District of Columbia,48
Florida,50
Georgia,56
Hawaii,34
Idaho,67
Illinois,49
Indiana,67
Iowa,58
Kansas,73
Kentucky,77
Louisiana,57
Maine,69
Maryland,48
Massachusetts,56
Michigan,57
Minnesota,55
Mississippi,77
Missouri,66
Montana,94
Nebraska,70
Nevada,39
New Hampshire,40
New Jersey,51
New Mexico,74
New York,44
North Carolina,57
North Dakota,100
Ohio,67
Oklahoma,53
Oregon,73
Pennsylvania,62
Rhode Island,53
South Carolina,63
South Dakota,68
Tennessee,69
Texas,49
Utah,42
Vermont,66
Virginia,55
Washington,60
West Virginia,77
Wisconsin,60
Wyoming,59
