geoName,antidepressant
Alabama,57
Alaska,74
Arizona,55
Arkansas,100
California,48
Colorado,50
Connecticut,80
Delaware,74
District of Columbia,52
Florida,56
Georgia,56
Hawaii,35
Idaho,58
Illinois,61
Indiana,56
Iowa,66
Kansas,45
Kentucky,68
Louisiana,52
Maine,68
Maryland,69
Massachusetts,61
Michigan,67
Minnesota,57
Mississippi,74
Missouri,62
Montana,95
Nebraska,53
Nevada,34
New Hampshire,51
New Jersey,51
New Mexico,59
New York,49
North Carolina,55
North Dakota,80
Ohio,69
Oklahoma,75
Oregon,35
Pennsylvania,55
Rhode Island,52
South Carolina,68
South Dakota,32
Tennessee,68
Texas,53
Utah,66
Vermont,58
Virginia,36
Washington,66
West Virginia,92
Wisconsin,62
Wyoming,69
