geoName,antidepressant
Alabama,49
Alaska,44
Arizona,46
Arkansas,57
California,45
Colorado,45
Connecticut,65
Delaware,98
District of Columbia,51
Florida,52
Georgia,48
Hawaii,45
Idaho,66
Illinois,49
Indiana,61
Iowa,72
Kansas,61
Kentucky,65
Louisiana,73
Maine,66
Maryland,46
Massachusetts,53
Michigan,55
Minnesota,64
Mississippi,58
Missouri,49
Montana,58
Nebraska,67
Nevada,47
New Hampshire,57
New Jersey,51
New Mexico,66
New York,46
North Carolina,61
North Dakota,63
Ohio,62
Oklahoma,59
Oregon,29
Pennsylvania,67
Rhode Island,51
South Carolina,48
South Dakota,65
Tennessee,79
Texas,49
Utah,73
Vermont,52
Virginia,40
Washington,57
West Virginia,80
Wisconsin,60
Wyoming,100
