geoName,education
Alabama,72
Alaska,52
Arizona,47
Arkansas,72
California,36
Colorado,46
Connecticut,62
Delaware,68
District of Columbia,53
Florida,39
Georgia,51
Hawaii,57
Idaho,65
Illinois,44
Indiana,67
Iowa,58
Kansas,51
Kentucky,66
Louisiana,59
Maine,62
Maryland,54
Massachusetts,50
Michigan,48
Minnesota,53
Mississippi,80
Missouri,48
Montana,54
Nebraska,56
Nevada,39
New Hampshire,54
New Jersey,59
New Mexico,57
New York,45
North Carolina,56
North Dakota,57
Ohio,57
Oklahoma,55
Oregon,42
Pennsylvania,52
Rhode Island,56
South Carolina,73
South Dakota,65
Tennessee,66
Texas,39
Utah,50
Vermont,62
Virginia,54
Washington,37
West Virginia,100
Wisconsin,50
Wyoming,70
