geoName,education
Alabama,74
Alaska,55
Arizona,47
Arkansas,75
California,38
Colorado,48
Connecticut,63
Delaware,67
District of Columbia,71
Florida,38
Georgia,51
Hawaii,54
Idaho,65
Illinois,44
Indiana,64
Iowa,60
Kansas,46
Kentucky,64
Louisiana,53
Maine,62
Maryland,56
Massachusetts,52
Michigan,47
Minnesota,50
Mississippi,61
Missouri,43
Montana,53
Nebraska,65
Nevada,41
New Hampshire,57
New Jersey,58
New Mexico,70
New York,50
North Carolina,71
North Dakota,54
Ohio,62
Oklahoma,50
Oregon,32
Pennsylvania,50
Rhode Island,56
South Carolina,84
South Dakota,61
Tennessee,64
Texas,43
Utah,46
Vermont,64
Virginia,52
Washington,36
West Virginia,100
Wisconsin,48
Wyoming,68
