geoName,education
Alabama,69
Alaska,48
Arizona,47
Arkansas,79
California,38
Colorado,44
Connecticut,59
Delaware,63
District of Columbia,49
Florida,40
Georgia,51
Hawaii,56
Idaho,63
Illinois,43
Indiana,66
Iowa,63
Kansas,52
Kentucky,69
Louisiana,55
Maine,62
Maryland,57
Massachusetts,47
Michigan,45
Minnesota,52
Mississippi,81
Missouri,45
Montana,53
Nebraska,59
Nevada,41
New Hampshire,57
New Jersey,62
New Mexico,63
New York,48
North Carolina,62
North Dakota,54
Ohio,58
Oklahoma,61
Oregon,43
Pennsylvania,56
Rhode Island,57
South Carolina,76
South Dakota,68
Tennessee,65
Texas,40
Utah,50
Vermont,63
Virginia,56
Washington,35
West Virginia,100
Wisconsin,47
Wyoming,67
