geoName,education
Alabama,82
Alaska,64
Arizona,58
Arkansas,77
California,55
Colorado,59
Connecticut,79
Delaware,72
District of Columbia,74
Florida,50
Georgia,67
Hawaii,65
Idaho,78
Illinois,55
Indiana,72
Iowa,71
Kansas,67
Kentucky,75
Louisiana,62
Maine,76
Maryland,77
Massachusetts,72
Michigan,60
Minnesota,69
Mississippi,88
Missouri,60
Montana,60
Nebraska,74
Nevada,53
New Hampshire,69
New Jersey,77
New Mexico,79
New York,73
North Carolina,93
North Dakota,65
Ohio,73
Oklahoma,68
Oregon,67
Pennsylvania,62
Rhode Island,69
South Carolina,100
South Dakota,68
Tennessee,64
Texas,59
Utah,61
Vermont,93
Virginia,73
Washington,48
West Virginia,98
Wisconsin,59
Wyoming,76
