date,education,isPartial
2015-01-04,89,False
2015-01-11,95,False
2015-01-18,93,False
2015-01-25,97,False
2015-02-01,97,False
2015-02-08,96,False
2015-02-15,86,False
2015-02-22,96,False
2015-03-01,97,False
2015-03-08,95,False
2015-03-15,92,False
2015-03-22,94,False
2015-03-29,88,False
2015-04-05,90,False
2015-04-12,100,False
2015-04-19,98,False
2015-04-26,97,False
2015-05-03,96,False
2015-05-10,96,False
2015-05-17,88,False
2015-05-24,83,False
2015-05-31,82,False
2015-06-07,76,False
2015-06-14,70,False
2015-06-21,68,False
2015-06-28,62,False
2015-07-05,66,False
2015-07-12,67,False
2015-07-19,68,False
2015-07-26,68,False
2015-08-02,75,False
2015-08-09,79,False
2015-08-16,82,False
2015-08-23,91,False
2015-08-30,95,False
2015-09-06,86,False
2015-09-13,95,False
2015-09-20,93,False
2015-09-27,95,False
2015-10-04,92,False
2015-10-11,91,False
2015-10-18,91,False
2015-10-25,92,False
2015-11-01,95,False
2015-11-08,93,False
2015-11-15,90,False
2015-11-22,58,False
2015-11-29,90,False
2015-12-06,89,False
2015-12-13,78,False
2015-12-20,40,False
2015-12-27,47,False
