date,education,isPartial
2016-01-03,88,False
2016-01-10,90,False
2016-01-17,87,False
2016-01-24,95,False
2016-01-31,99,False
2016-02-07,93,False
2016-02-14,88,False
2016-02-21,99,False
2016-02-28,96,False
2016-03-06,92,False
2016-03-13,87,False
2016-03-20,84,False
2016-03-27,87,False
2016-04-03,94,False
2016-04-10,100,False
2016-04-17,92,False
2016-04-24,92,False
2016-05-01,94,False
2016-05-08,92,False
2016-05-15,86,False
2016-05-22,78,False
2016-05-29,69,False
2016-06-05,75,False
2016-06-12,69,False
2016-06-19,63,False
2016-06-26,61,False
2016-07-03,57,False
2016-07-10,63,False
2016-07-17,69,False
2016-07-24,66,False
2016-07-31,69,False
2016-08-07,70,False
2016-08-14,73,False
2016-08-21,84,False
2016-08-28,83,False
2016-09-04,84,False
2016-09-11,93,False
2016-09-18,87,False
2016-09-25,87,False
2016-10-02,87,False
2016-10-09,85,False
2016-10-16,89,False
2016-10-23,90,False
2016-10-30,90,False
2016-11-06,90,False
2016-11-13,94,False
2016-11-20,61,False
2016-11-27,89,False
2016-12-04,86,False
2016-12-11,77,False
2016-12-18,53,False
2016-12-25,40,False
