geoName,education
Alabama,83
Alaska,60
Arizona,53
Arkansas,85
California,47
Colorado,51
Connecticut,74
Delaware,76
District of Columbia,70
Florida,48
Georgia,57
Hawaii,51
Idaho,75
Illinois,53
Indiana,67
Iowa,66
Kansas,49
Kentucky,62
Louisiana,54
Maine,75
Maryland,69
Massachusetts,60
Michigan,51
Minnesota,62
Mississippi,77
Missouri,52
Montana,58
Nebraska,71
Nevada,47
New Hampshire,64
New Jersey,70
New Mexico,82
New York,56
North Carolina,88
North Dakota,57
Ohio,69
Oklahoma,53
Oregon,33
Pennsylvania,56
Rhode Island,63
South Carolina,85
South Dakota,67
Tennessee,70
Texas,52
Utah,56
Vermont,75
Virginia,56
Washington,42
West Virginia,100
Wisconsin,55
Wyoming,81
