geoName,education
Alabama,86
Alaska,60
Arizona,56
Arkansas,94
California,49
Colorado,57
Connecticut,78
Delaware,74
District of Columbia,60
Florida,49
Georgia,59
Hawaii,59
Idaho,73
Illinois,52
Indiana,78
Iowa,67
Kansas,62
Kentucky,70
Louisiana,65
Maine,71
Maryland,74
Massachusetts,66
Michigan,55
Minnesota,66
Mississippi,91
Missouri,58
Montana,54
Nebraska,71
Nevada,48
New Hampshire,67
New Jersey,75
New Mexico,79
New York,57
North Carolina,90
North Dakota,60
Ohio,74
Oklahoma,56
Oregon,39
Pennsylvania,58
Rhode Island,65
South Carolina,78
South Dakota,65
Tennessee,65
Texas,53
Utah,59
Vermont,81
Virginia,59
Washington,45
West Virginia,100
Wisconsin,58
Wyoming,73
