date,family,isPartial
2015-01-04,90,False
2015-01-11,86,False
2015-01-18,85,False
2015-01-25,89,False
2015-02-01,83,False
2015-02-08,84,False
2015-02-15,86,False
2015-02-22,88,False
2015-03-01,85,False
2015-03-08,85,False
2015-03-15,83,False
2015-03-22,86,False
2015-03-29,81,False
2015-04-05,84,False
2015-04-12,83,False
2015-04-19,83,False
2015-04-26,83,False
2015-05-03,85,False
2015-05-10,83,False
2015-05-17,91,False
2015-05-24,95,False
2015-05-31,96,False
2015-06-07,88,False
2015-06-14,87,False
2015-06-21,89,False
2015-06-28,88,False
2015-07-05,90,False
2015-07-12,90,False
2015-07-19,90,False
2015-07-26,89,False
2015-08-02,89,False
2015-08-09,92,False
2015-08-16,88,False
2015-08-23,90,False
2015-08-30,86,False
2015-09-06,88,False
2015-09-13,86,False
2015-09-20,86,False
2015-09-27,87,False
2015-10-04,85,False
2015-10-11,86,False
2015-10-18,89,False
2015-10-25,93,False
2015-11-01,91,False
2015-11-08,87,False
2015-11-15,87,False
2015-11-22,90,False
2015-11-29,92,False
2015-12-06,92,False
2015-12-13,91,False
2015-12-20,100,False
2015-12-27,93,False
