geoName,family
Alabama,86
Alaska,66
Arizona,74
Arkansas,80
California,65
Colorado,77
Connecticut,78
Delaware,81
District of Columbia,64
Florida,70
Georgia,74
Hawaii,70
Idaho,87
Illinois,77
Indiana,91
Iowa,90
Kansas,95
Kentucky,85
Louisiana,77
Maine,91
Maryland,74
Massachusetts,75
Michigan,90
Minnesota,84
Mississippi,80
Missouri,91
Montana,73
Nebraska,86
Nevada,70
New Hampshire,88
New Jersey,75
New Mexico,76
New York,67
North Carolina,88
North Dakota,91
Ohio,93
Oklahoma,82
Oregon,77
Pennsylvania,81
Rhode Island,76
South Carolina,90
South Dakota,89
Tennessee,82
Texas,70
Utah,100
Vermont,97
Virginia,83
Washington,78
West Virginia,88
Wisconsin,90
Wyoming,78
