date,family,isPartial
2013-01-06,69,False
2013-01-13,68,False
2013-01-20,68,False
2013-01-27,66,False
2013-02-03,65,False
2013-02-10,66,False
2013-02-17,65,False
2013-02-24,66,False
2013-03-03,67,False
2013-03-10,65,False
2013-03-17,67,False
2013-03-24,64,False
2013-03-31,64,False
2013-04-07,66,False
2013-04-14,64,False
2013-04-21,63,False
2013-04-28,64,False
2013-05-05,64,False
2013-05-12,66,False
2013-05-19,63,False
2013-05-26,65,False
2013-06-02,67,False
2013-06-09,69,False
2013-06-16,68,False
2013-06-23,66,False
2013-06-30,64,False
2013-07-07,67,False
2013-07-14,68,False
2013-07-21,74,False
2013-07-28,67,False
2013-08-04,67,False
2013-08-11,68,False
2013-08-18,68,False
2013-08-25,70,False
2013-09-01,67,False
2013-09-08,67,False
2013-09-15,64,False
2013-09-22,70,False
2013-09-29,70,False
2013-10-06,70,False
2013-10-13,70,False
2013-10-20,71,False
2013-10-27,72,False
2013-11-03,71,False
2013-11-10,71,False
2013-11-17,75,False
2013-11-24,100,False
2013-12-01,79,False
2013-12-08,76,False
2013-12-15,78,False
2013-12-22,76,False
2013-12-29,74,False
