geoName,family
Alabama,82
Alaska,67
Arizona,71
Arkansas,77
California,63
Colorado,75
Connecticut,72
Delaware,77
District of Columbia,64
Florida,69
Georgia,72
Hawaii,66
Idaho,83
Illinois,74
Indiana,87
Iowa,92
Kansas,90
Kentucky,80
Louisiana,72
Maine,84
Maryland,74
Massachusetts,70
Michigan,83
Minnesota,81
Mississippi,79
Missouri,85
Montana,67
Nebraska,85
Nevada,66
New Hampshire,82
New Jersey,68
New Mexico,66
New York,62
North Carolina,86
North Dakota,85
Ohio,88
Oklahoma,77
Oregon,70
Pennsylvania,79
Rhode Island,74
South Carolina,89
South Dakota,83
Tennessee,78
Texas,69
Utah,89
Vermont,100
Virginia,78
Washington,75
West Virginia,84
Wisconsin,87
Wyoming,74
