geoName,family
Alabama,90
Alaska,73
Arizona,81
Arkansas,86
California,67
Colorado,80
Connecticut,77
Delaware,86
District of Columbia,76
Florida,75
Georgia,80
Hawaii,65
Idaho,95
Illinois,83
Indiana,91
Iowa,100
Kansas,82
Kentucky,89
Louisiana,83
Maine,90
Maryland,78
Massachusetts,79
Michigan,97
Minnesota,88
Mississippi,88
Missouri,96
Montana,78
Nebraska,98
Nevada,70
New Hampshire,85
New Jersey,77
New Mexico,79
New York,70
North Carolina,90
North Dakota,96
Ohio,94
Oklahoma,75
Oregon,58
Pennsylvania,87
Rhode Island,77
South Carolina,99
South Dakota,87
Tennessee,84
Texas,76
Utah,96
Vermont,97
Virginia,61
Washington,79
West Virginia,97
Wisconsin,95
Wyoming,83
