date,family,isPartial
2011-01-02,96,False
2011-01-09,90,False
2011-01-16,91,False
2011-01-23,91,False
2011-01-30,86,False
2011-02-06,91,False
2011-02-13,87,False
2011-02-20,92,False
2011-02-27,87,False
2011-03-06,86,False
2011-03-13,85,False
2011-03-20,87,False
2011-03-27,88,False
2011-04-03,88,False
2011-04-10,85,False
2011-04-17,91,False
2011-04-24,99,False
2011-05-01,88,False
2011-05-08,85,False
2011-05-15,100,False
2011-05-22,97,False
2011-05-29,85,False
2011-06-05,83,False
2011-06-12,89,False
2011-06-19,85,False
2011-06-26,85,False
2011-07-03,85,False
2011-07-10,85,False
2011-07-17,88,False
2011-07-24,87,False
2011-07-31,87,False
2011-08-07,85,False
2011-08-14,86,False
2011-08-21,83,False
2011-08-28,81,False
2011-09-04,81,False
2011-09-11,81,False
2011-09-18,92,False
2011-09-25,90,False
2011-10-02,90,False
2011-10-09,92,False
2011-10-16,91,False
2011-10-23,88,False
2011-10-30,89,False
2011-11-06,94,False
2011-11-13,92,False
2011-11-20,88,False
2011-11-27,91,False
2011-12-04,93,False
2011-12-11,93,False
2011-12-18,91,False
2011-12-25,90,False
