date,family,isPartial
2016-01-03,97,False
2016-01-10,91,False
2016-01-17,92,False
2016-01-24,92,False
2016-01-31,92,False
2016-02-07,95,False
2016-02-14,94,False
2016-02-21,93,False
2016-02-28,92,False
2016-03-06,91,False
2016-03-13,89,False
2016-03-20,92,False
2016-03-27,95,False
2016-04-03,94,False
2016-04-10,92,False
2016-04-17,94,False
2016-04-24,94,False
2016-05-01,93,False
2016-05-08,92,False
2016-05-15,95,False
2016-05-22,89,False
2016-05-29,91,False
2016-06-05,92,False
2016-06-12,92,False
2016-06-19,92,False
2016-06-26,94,False
2016-07-03,91,False
2016-07-10,92,False
2016-07-17,93,False
2016-07-24,94,False
2016-07-31,96,False
2016-08-07,85,False
2016-08-14,85,False
2016-08-21,84,False
2016-08-28,86,False
2016-09-04,93,False
2016-09-11,93,False
2016-09-18,90,False
2016-09-25,92,False
2016-10-02,90,False
2016-10-09,91,False
2016-10-16,95,False
2016-10-23,93,False
2016-10-30,93,False
2016-11-06,87,False
2016-11-13,97,False
2016-11-20,98,False
2016-11-27,96,False
2016-12-04,93,False
2016-12-11,93,False
2016-12-18,96,False
2016-12-25,100,False
