geoName,family
Alabama,90
Alaska,72
Arizona,79
Arkansas,86
California,67
Colorado,81
Connecticut,74
Delaware,85
District of Columbia,69
Florida,71
Georgia,78
Hawaii,71
Idaho,90
Illinois,83
Indiana,93
Iowa,96
Kansas,92
Kentucky,90
Louisiana,77
Maine,87
Maryland,74
Massachusetts,76
Michigan,94
Minnesota,90
Mississippi,81
Missouri,96
Montana,75
Nebraska,87
Nevada,71
New Hampshire,89
New Jersey,76
New Mexico,76
New York,68
North Carolina,89
North Dakota,93
Ohio,93
Oklahoma,81
Oregon,51
Pennsylvania,86
Rhode Island,76
South Carolina,100
South Dakota,87
Tennessee,83
Texas,78
Utah,96
Vermont,100
Virginia,83
Washington,82
West Virginia,85
Wisconsin,91
Wyoming,82
