geoName,family
Alabama,83
Alaska,77
Arizona,79
Arkansas,86
California,64
Colorado,82
Connecticut,76
Delaware,85
District of Columbia,72
Florida,72
Georgia,83
Hawaii,70
Idaho,96
Illinois,83
Indiana,94
Iowa,98
Kansas,92
Kentucky,91
Louisiana,84
Maine,94
Maryland,75
Massachusetts,80
Michigan,99
Minnesota,87
Mississippi,90
Missouri,94
Montana,76
Nebraska,94
Nevada,68
New Hampshire,85
New Jersey,78
New Mexico,80
New York,73
North Carolina,89
North Dakota,95
Ohio,98
Oklahoma,84
Oregon,73
Pennsylvania,85
Rhode Island,81
South Carolina,94
South Dakota,87
Tennessee,85
Texas,77
Utah,92
Vermont,100
Virginia,84
Washington,79
West Virginia,94
Wisconsin,94
Wyoming,83
