geoName,family
Alabama,87
Alaska,71
Arizona,75
Arkansas,84
California,64
Colorado,77
Connecticut,72
Delaware,83
District of Columbia,70
Florida,71
Georgia,80
Hawaii,65
Idaho,92
Illinois,83
Indiana,90
Iowa,94
Kansas,85
Kentucky,86
Louisiana,73
Maine,88
Maryland,77
Massachusetts,78
Michigan,93
Minnesota,85
Mississippi,84
Missouri,91
Montana,76
Nebraska,87
Nevada,68
New Hampshire,80
New Jersey,74
New Mexico,77
New York,68
North Carolina,90
North Dakota,88
Ohio,91
Oklahoma,77
Oregon,48
Pennsylvania,82
Rhode Island,75
South Carolina,93
South Dakota,82
Tennessee,79
Texas,74
Utah,100
Vermont,98
Virginia,64
Washington,77
West Virginia,85
Wisconsin,91
Wyoming,84
