date,misery,isPartial
2013-01-06,76,False
2013-01-13,78,False
2013-01-20,94,False
2013-01-27,89,False
2013-02-03,75,False
2013-02-10,72,False
2013-02-17,74,False
2013-02-24,68,False
2013-03-03,73,False
2013-03-10,84,False
2013-03-17,76,False
2013-03-24,70,False
2013-03-31,68,False
2013-04-07,78,False
2013-04-14,69,False
2013-04-21,81,False
2013-04-28,70,False
2013-05-05,69,False
2013-05-12,68,False
2013-05-19,67,False
2013-05-26,88,False
2013-06-02,77,False
2013-06-09,67,False
2013-06-16,71,False
2013-06-23,84,False
2013-06-30,93,False
2013-07-07,78,False
2013-07-14,70,False
2013-07-21,76,False
2013-07-28,100,False
2013-08-04,95,False
2013-08-11,88,False
2013-08-18,71,False
2013-08-25,71,False
2013-09-01,69,False
2013-09-08,71,False
2013-09-15,73,False
2013-09-22,71,False
2013-09-29,72,False
2013-10-06,95,False
2013-10-13,79,False
2013-10-20,90,False
2013-10-27,83,False
2013-11-03,71,False
2013-11-10,82,False
2013-11-17,69,False
2013-11-24,93,False
2013-12-01,68,False
2013-12-08,73,False
2013-12-15,76,False
2013-12-22,74,False
2013-12-29,70,False
