date,misery,isPartial
2016-01-03,68,False
2016-01-10,60,False
2016-01-17,64,False
2016-01-24,62,False
2016-01-31,65,False
2016-02-07,57,False
2016-02-14,58,False
2016-02-21,58,False
2016-02-28,51,False
2016-03-06,73,False
2016-03-13,64,False
2016-03-20,55,False
2016-03-27,58,False
2016-04-03,72,False
2016-04-10,59,False
2016-04-17,72,False
2016-04-24,57,False
2016-05-01,61,False
2016-05-08,61,False
2016-05-15,60,False
2016-05-22,55,False
2016-05-29,63,False
2016-06-05,53,False
2016-06-12,50,False
2016-06-19,54,False
2016-06-26,61,False
2016-07-03,54,False
2016-07-10,51,False
2016-07-17,48,False
2016-07-24,50,False
2016-07-31,53,False
2016-08-07,72,False
2016-08-14,78,False
2016-08-21,100,False
2016-08-28,99,False
2016-09-04,97,False
2016-09-11,61,False
2016-09-18,54,False
2016-09-25,60,False
2016-10-02,70,False
2016-10-09,62,False
2016-10-16,68,False
2016-10-23,66,False
2016-10-30,55,False
2016-11-06,52,False
2016-11-13,54,False
2016-11-20,63,False
2016-11-27,55,False
2016-12-04,54,False
2016-12-11,48,False
2016-12-18,53,False
2016-12-25,45,False
