geoName,misery
Alabama,19
Alaska,18
Arizona,21
Arkansas,19
California,20
Colorado,21
Connecticut,25
Delaware,17
District of Columbia,20
Florida,20
Georgia,18
Hawaii,18
Idaho,24
Illinois,20
Indiana,23
Iowa,24
Kansas,19
Kentucky,25
Louisiana,19
Maine,25
Maryland,23
Massachusetts,28
Michigan,22
Minnesota,21
Mississippi,18
Missouri,22
Montana,23
Nebraska,16
Nevada,23
New Hampshire,31
New Jersey,29
New Mexico,17
New York,30
North Carolina,21
North Dakota,16
Ohio,21
Oklahoma,18
Oregon,17
Pennsylvania,22
Rhode Island,19
South Carolina,21
South Dakota,9
Tennessee,21
Texas,18
Utah,23
Vermont,100
Virginia,18
Washington,22
West Virginia,29
Wisconsin,21
Wyoming,15
