date,misery,isPartial
2012-01-01,67,False
2012-01-08,67,False
2012-01-15,71,False
2012-01-22,79,False
2012-01-29,75,False
2012-02-05,75,False
2012-02-12,72,False
2012-02-19,68,False
2012-02-26,72,False
2012-03-04,70,False
2012-03-11,70,False
2012-03-18,67,False
2012-03-25,68,False
2012-04-01,100,False
2012-04-08,74,False
2012-04-15,71,False
2012-04-22,69,False
2012-04-29,71,False
2012-05-06,69,False
2012-05-13,74,False
2012-05-20,76,False
2012-05-27,75,False
2012-06-03,71,False
2012-06-10,75,False
2012-06-17,75,False
2012-06-24,82,False
2012-07-01,78,False
2012-07-08,70,False
2012-07-15,73,False
2012-07-22,72,False
2012-07-29,66,False
2012-08-05,66,False
2012-08-12,74,False
2012-08-19,75,False
2012-08-26,67,False
2012-09-02,66,False
2012-09-09,74,False
2012-09-16,73,False
2012-09-23,81,False
2012-09-30,89,False
2012-10-07,68,False
2012-10-14,84,False
2012-10-21,76,False
2012-10-28,82,False
2012-11-04,67,False
2012-11-11,78,False
2012-11-18,73,False
2012-11-25,65,False
2012-12-02,75,False
2012-12-09,72,False
2012-12-16,63,False
2012-12-23,70,False
2012-12-30,64,False
