date,misery,isPartial
2014-01-05,96,False
2014-01-12,84,False
2014-01-19,88,False
2014-01-26,81,False
2014-02-02,79,False
2014-02-09,89,False
2014-02-16,85,False
2014-02-23,86,False
2014-03-02,73,False
2014-03-09,77,False
2014-03-16,85,False
2014-03-23,88,False
2014-03-30,84,False
2014-04-06,81,False
2014-04-13,88,False
2014-04-20,86,False
2014-04-27,90,False
2014-05-04,89,False
2014-05-11,78,False
2014-05-18,81,False
2014-05-25,87,False
2014-06-01,80,False
2014-06-08,87,False
2014-06-15,79,False
2014-06-22,73,False
2014-06-29,80,False
2014-07-06,84,False
2014-07-13,81,False
2014-07-20,80,False
2014-07-27,78,False
2014-08-03,69,False
2014-08-10,85,False
2014-08-17,78,False
2014-08-24,90,False
2014-08-31,70,False
2014-09-07,78,False
2014-09-14,87,False
2014-09-21,89,False
2014-09-28,79,False
2014-10-05,94,False
2014-10-12,95,False
2014-10-19,100,False
2014-10-26,100,False
2014-11-02,90,False
2014-11-09,96,False
2014-11-16,77,False
2014-11-23,90,False
2014-11-30,84,False
2014-12-07,81,False
2014-12-14,80,False
2014-12-21,93,False
2014-12-28,77,False
