geoName,misery
Alabama,19
Alaska,15
Arizona,16
Arkansas,19
California,16
Colorado,17
Connecticut,17
Delaware,12
District of Columbia,14
Florida,15
Georgia,15
Hawaii,15
Idaho,19
Illinois,17
Indiana,20
Iowa,13
Kansas,16
Kentucky,18
Louisiana,15
Maine,24
Maryland,14
Massachusetts,20
Michigan,18
Minnesota,18
Mississippi,18
Missouri,16
Montana,18
Nebraska,13
Nevada,17
New Hampshire,17
New Jersey,18
New Mexico,17
New York,17
North Carolina,16
North Dakota,20
Ohio,18
Oklahoma,17
Oregon,14
Pennsylvania,19
Rhode Island,21
South Carolina,14
South Dakota,15
Tennessee,17
Texas,16
Utah,15
Vermont,100
Virginia,14
Washington,17
West Virginia,18
Wisconsin,16
Wyoming,17
