geoName,misery
Alabama,21
Alaska,19
Arizona,18
Arkansas,18
California,17
Colorado,18
Connecticut,18
Delaware,23
District of Columbia,18
Florida,16
Georgia,18
Hawaii,16
Idaho,24
Illinois,18
Indiana,20
Iowa,18
Kansas,15
Kentucky,24
Louisiana,16
Maine,21
Maryland,18
Massachusetts,22
Michigan,20
Minnesota,18
Mississippi,22
Missouri,18
Montana,19
Nebraska,15
Nevada,17
New Hampshire,24
New Jersey,21
New Mexico,26
New York,19
North Carolina,18
North Dakota,18
Ohio,20
Oklahoma,16
Oregon,13
Pennsylvania,21
Rhode Island,20
South Carolina,16
South Dakota,13
Tennessee,20
Texas,18
Utah,17
Vermont,100
Virginia,14
Washington,18
West Virginia,19
Wisconsin,17
Wyoming,24
