geoName,misery
Alabama,19
Alaska,19
Arizona,19
Arkansas,19
California,19
Colorado,20
Connecticut,23
Delaware,22
District of Columbia,20
Florida,16
Georgia,19
Hawaii,17
Idaho,21
Illinois,19
Indiana,19
Iowa,20
Kansas,19
Kentucky,20
Louisiana,22
Maine,19
Maryland,18
Massachusetts,23
Michigan,20
Minnesota,18
Mississippi,18
Missouri,20
Montana,20
Nebraska,22
Nevada,20
New Hampshire,20
New Jersey,24
New Mexico,19
New York,24
North Carolina,19
North Dakota,16
Ohio,19
Oklahoma,19
Oregon,23
Pennsylvania,23
Rhode Island,27
South Carolina,15
South Dakota,17
Tennessee,18
Texas,19
Utah,19
Vermont,100
Virginia,20
Washington,20
West Virginia,19
Wisconsin,19
Wyoming,16
