date,disinterest,isPartial
2011-01-02,13,False
2011-01-09,13,False
2011-01-16,38,False
2011-01-23,38,False
2011-01-30,24,False
2011-02-06,12,False
2011-02-13,25,False
2011-02-20,38,False
2011-02-27,25,False
2011-03-06,24,False
2011-03-13,39,False
2011-03-20,61,False
2011-03-27,49,False
2011-04-03,61,False
2011-04-10,24,False
2011-04-17,13,False
2011-04-24,25,False
2011-05-01,49,False
2011-05-08,50,False
2011-05-15,74,False
2011-05-22,63,False
2011-05-29,65,False
2011-06-05,12,False
2011-06-12,38,False
2011-06-19,49,False
2011-06-26,25,False
2011-07-03,13,False
2011-07-10,49,False
2011-07-17,24,False
2011-07-24,36,False
2011-07-31,12,False
2011-08-07,36,False
2011-08-14,24,False
2011-08-21,23,False
2011-08-28,70,False
2011-09-04,35,False
2011-09-11,68,False
2011-09-18,11,False
2011-09-25,11,False
2011-10-02,56,False
2011-10-09,33,False
2011-10-16,22,False
2011-10-23,33,False
2011-10-30,100,False
2011-11-06,11,False
2011-11-13,64,False
2011-11-20,11,False
2011-11-27,20,False
2011-12-04,41,False
2011-12-11,41,False
2011-12-18,22,False
2011-12-25,11,False
