date,disinterest,isPartial
2014-01-05,17,False
2014-01-12,12,False
2014-01-19,35,False
2014-01-26,6,False
2014-02-02,36,False
2014-02-09,34,False
2014-02-16,29,False
2014-02-23,23,False
2014-03-02,34,False
2014-03-09,23,False
2014-03-16,29,False
2014-03-23,17,False
2014-03-30,17,False
2014-04-06,17,False
2014-04-13,12,False
2014-04-20,18,False
2014-04-27,12,False
2014-05-04,53,False
2014-05-11,30,False
2014-05-18,39,False
2014-05-25,14,False
2014-06-01,20,False
2014-06-08,21,False
2014-06-15,21,False
2014-06-22,28,False
2014-06-29,15,False
2014-07-06,14,False
2014-07-13,14,False
2014-07-20,14,False
2014-07-27,34,False
2014-08-03,22,False
2014-08-10,34,False
2014-08-17,27,False
2014-08-24,20,False
2014-08-31,13,False
2014-09-07,38,False
2014-09-14,19,False
2014-09-21,32,False
2014-09-28,26,False
2014-10-05,32,False
2014-10-12,38,False
2014-10-19,26,False
2014-10-26,26,False
2014-11-02,6,False
2014-11-09,57,False
2014-11-16,32,False
2014-11-23,27,False
2014-11-30,18,False
2014-12-07,100,False
2014-12-14,66,False
2014-12-21,30,False
2014-12-28,7,False
