date,disinterest,isPartial
2016-01-03,31,False
2016-01-10,10,False
2016-01-17,40,False
2016-01-24,80,False
2016-01-31,49,False
2016-02-07,79,False
2016-02-14,98,False
2016-02-21,77,False
2016-02-28,57,False
2016-03-06,68,False
2016-03-13,78,False
2016-03-20,71,False
2016-03-27,69,False
2016-04-03,69,False
2016-04-10,79,False
2016-04-17,59,False
2016-04-24,78,False
2016-05-01,58,False
2016-05-08,30,False
2016-05-15,30,False
2016-05-22,62,False
2016-05-29,31,False
2016-06-05,31,False
2016-06-12,31,False
2016-06-19,11,False
2016-06-26,52,False
2016-07-03,44,False
2016-07-10,32,False
2016-07-17,43,False
2016-07-24,31,False
2016-07-31,63,False
2016-08-07,22,False
2016-08-14,11,False
2016-08-21,43,False
2016-08-28,61,False
2016-09-04,31,False
2016-09-11,80,False
2016-09-18,58,False
2016-09-25,69,False
2016-10-02,69,False
2016-10-09,100,False
2016-10-16,50,False
2016-10-23,59,False
2016-10-30,88,False
2016-11-06,18,False
2016-11-13,68,False
2016-11-20,30,False
2016-11-27,54,False
2016-12-04,81,False
2016-12-11,93,False
2016-12-18,20,False
2016-12-25,21,False
