date,disinterest,isPartial
2015-01-04,69,False
2015-01-11,68,False
2015-01-18,35,False
2015-01-25,45,False
2015-02-01,44,False
2015-02-08,77,False
2015-02-15,34,False
2015-02-22,22,False
2015-03-01,44,False
2015-03-08,34,False
2015-03-15,34,False
2015-03-22,63,False
2015-03-29,47,False
2015-04-05,70,False
2015-04-12,91,False
2015-04-19,35,False
2015-04-26,81,False
2015-05-03,94,False
2015-05-10,59,False
2015-05-17,24,False
2015-05-24,38,False
2015-05-31,99,False
2015-06-07,25,False
2015-06-14,99,False
2015-06-21,100,False
2015-06-28,51,False
2015-07-05,38,False
2015-07-12,50,False
2015-07-19,50,False
2015-07-26,61,False
2015-08-02,49,False
2015-08-09,25,False
2015-08-16,49,False
2015-08-23,60,False
2015-08-30,23,False
2015-09-06,36,False
2015-09-13,46,False
2015-09-20,68,False
2015-09-27,45,False
2015-10-04,69,False
2015-10-11,57,False
2015-10-18,33,False
2015-10-25,67,False
2015-11-01,55,False
2015-11-08,77,False
2015-11-15,22,False
2015-11-22,36,False
2015-11-29,64,False
2015-12-06,44,False
2015-12-13,67,False
2015-12-20,39,False
2015-12-27,24,False
