date,disinterest,isPartial
2013-01-06,25,False
2013-01-13,63,False
2013-01-20,64,False
2013-01-27,25,False
2013-02-03,87,False
2013-02-10,62,False
2013-02-17,87,False
2013-02-24,36,False
2013-03-03,62,False
2013-03-10,86,False
2013-03-17,37,False
2013-03-24,38,False
2013-03-31,50,False
2013-04-07,75,False
2013-04-14,49,False
2013-04-21,25,False
2013-04-28,100,False
2013-05-05,50,False
2013-05-12,52,False
2013-05-19,51,False
2013-05-26,27,False
2013-06-02,13,False
2013-06-09,39,False
2013-06-16,26,False
2013-06-23,66,False
2013-06-30,41,False
2013-07-07,51,False
2013-07-14,13,False
2013-07-21,89,False
2013-07-28,13,False
2013-08-04,39,False
2013-08-11,76,False
2013-08-18,38,False
2013-08-25,12,False
2013-09-01,88,False
2013-09-08,24,False
2013-09-15,12,False
2013-09-22,74,False
2013-09-29,49,False
2013-10-06,12,False
2013-10-13,25,False
2013-10-20,73,False
2013-10-27,61,False
2013-11-03,36,False
2013-11-10,48,False
2013-11-17,0,False
2013-11-24,64,False
2013-12-01,57,False
2013-12-08,48,False
2013-12-15,37,False
2013-12-22,28,False
2013-12-29,64,False
