geoName,suicide
Alabama,71
Alaska,100
Arizona,83
Arkansas,74
California,79
Colorado,86
Connecticut,73
Delaware,86
District of Columbia,78
Florida,68
Georgia,67
Hawaii,76
Idaho,87
Illinois,72
Indiana,84
Iowa,72
Kansas,74
Kentucky,80
Louisiana,71
Maine,76
Maryland,73
Massachusetts,75
Michigan,76
Minnesota,73
Mississippi,68
Missouri,78
Montana,83
Nebraska,77
Nevada,89
New Hampshire,81
New Jersey,78
New Mexico,88
New York,74
North Carolina,76
North Dakota,76
Ohio,77
Oklahoma,80
Oregon,53
Pennsylvania,82
Rhode Island,78
South Carolina,72
South Dakota,72
Tennessee,74
Texas,71
Utah,85
Vermont,94
Virginia,59
Washington,80
West Virginia,79
Wisconsin,76
Wyoming,91
