geoName,suicide
Alabama,63
Alaska,79
Arizona,70
Arkansas,71
California,70
Colorado,76
Connecticut,77
Delaware,75
District of Columbia,70
Florida,58
Georgia,60
Hawaii,70
Idaho,72
Illinois,70
Indiana,76
Iowa,71
Kansas,83
Kentucky,75
Louisiana,69
Maine,66
Maryland,72
Massachusetts,71
Michigan,72
Minnesota,68
Mississippi,61
Missouri,74
Montana,73
Nebraska,68
Nevada,78
New Hampshire,77
New Jersey,70
New Mexico,68
New York,74
North Carolina,63
North Dakota,81
Ohio,74
Oklahoma,70
Oregon,78
Pennsylvania,76
Rhode Island,85
South Carolina,66
South Dakota,83
Tennessee,64
Texas,65
Utah,67
Vermont,100
Virginia,71
Washington,77
West Virginia,82
Wisconsin,71
Wyoming,75
