geoName,suicide
Alabama,71
Alaska,93
Arizona,89
Arkansas,80
California,84
Colorado,88
Connecticut,82
Delaware,100
District of Columbia,77
Florida,71
Georgia,70
Hawaii,73
Idaho,84
Illinois,77
Indiana,89
Iowa,84
Kansas,88
Kentucky,83
Louisiana,78
Maine,85
Maryland,83
Massachusetts,88
Michigan,87
Minnesota,82
Mississippi,72
Missouri,85
Montana,89
Nebraska,75
Nevada,90
New Hampshire,89
New Jersey,76
New Mexico,91
New York,80
North Carolina,74
North Dakota,81
Ohio,86
Oklahoma,86
Oregon,93
Pennsylvania,91
Rhode Island,95
South Carolina,74
South Dakota,84
Tennessee,81
Texas,74
Utah,81
Vermont,95
Virginia,84
Washington,90
West Virginia,85
Wisconsin,79
Wyoming,92
