geoName,suicide
Alabama,72
Alaska,100
Arizona,88
Arkansas,77
California,85
Colorado,85
Connecticut,73
Delaware,80
District of Columbia,73
Florida,72
Georgia,74
Hawaii,79
Idaho,88
Illinois,74
Indiana,83
Iowa,81
Kansas,77
Kentucky,81
Louisiana,71
Maine,74
Maryland,72
Massachusetts,72
Michigan,76
Minnesota,70
Mississippi,68
Missouri,80
Montana,83
Nebraska,81
Nevada,90
New Hampshire,75
New Jersey,79
New Mexico,93
New York,71
North Carolina,70
North Dakota,79
Ohio,78
Oklahoma,84
Oregon,77
Pennsylvania,78
Rhode Island,77
South Carolina,71
South Dakota,82
Tennessee,76
Texas,85
Utah,94
Vermont,77
Virginia,77
Washington,80
West Virginia,83
Wisconsin,75
Wyoming,86
