geoName,suicide
Alabama,75
Alaska,100
Arizona,90
Arkansas,85
California,81
Colorado,86
Connecticut,79
Delaware,83
District of Columbia,85
Florida,72
Georgia,72
Hawaii,76
Idaho,82
Illinois,77
Indiana,82
Iowa,81
Kansas,67
Kentucky,82
Louisiana,75
Maine,80
Maryland,80
Massachusetts,78
Michigan,81
Minnesota,77
Mississippi,70
Missouri,78
Montana,95
Nebraska,80
Nevada,94
New Hampshire,79
New Jersey,78
New Mexico,87
New York,76
North Carolina,75
North Dakota,83
Ohio,81
Oklahoma,77
Oregon,63
Pennsylvania,80
Rhode Island,88
South Carolina,76
South Dakota,89
Tennessee,73
Texas,77
Utah,90
Vermont,84
Virginia,56
Washington,84
West Virginia,83
Wisconsin,72
Wyoming,98
