geoName,suicide
Alabama,71
Alaska,88
Arizona,79
Arkansas,70
California,79
Colorado,79
Connecticut,74
Delaware,79
District of Columbia,67
Florida,66
Georgia,65
Hawaii,63
Idaho,75
Illinois,72
Indiana,85
Iowa,73
Kansas,74
Kentucky,79
Louisiana,73
Maine,91
Maryland,76
Massachusetts,75
Michigan,76
Minnesota,73
Mississippi,70
Missouri,72
Montana,87
Nebraska,78
Nevada,82
New Hampshire,82
New Jersey,72
New Mexico,86
New York,69
North Carolina,68
North Dakota,77
Ohio,79
Oklahoma,79
Oregon,55
Pennsylvania,81
Rhode Island,70
South Carolina,71
South Dakota,84
Tennessee,71
Texas,69
Utah,78
Vermont,100
Virginia,75
Washington,80
West Virginia,90
Wisconsin,74
Wyoming,91
