geoName,sport
Alabama,70
Alaska,77
Arizona,74
Arkansas,74
California,95
Colorado,89
Connecticut,93
Delaware,82
District of Columbia,95
Florida,91
Georgia,70
Hawaii,76
Idaho,73
Illinois,82
Indiana,72
Iowa,71
Kansas,75
Kentucky,66
Louisiana,67
Maine,78
Maryland,94
Massachusetts,83
Michigan,73
Minnesota,83
Mississippi,64
Missouri,67
Montana,66
Nebraska,76
Nevada,93
New Hampshire,81
New Jersey,93
New Mexico,73
New York,89
North Carolina,77
North Dakota,77
Ohio,67
Oklahoma,70
Oregon,100
Pennsylvania,79
Rhode Island,78
South Carolina,76
South Dakota,86
Tennessee,71
Texas,75
Utah,77
Vermont,73
Virginia,96
Washington,83
West Virginia,71
Wisconsin,78
Wyoming,77
