geoName,sport
Alabama,75
Alaska,89
Arizona,75
Arkansas,71
California,92
Colorado,96
Connecticut,91
Delaware,77
District of Columbia,89
Florida,94
Georgia,76
Hawaii,73
Idaho,87
Illinois,86
Indiana,77
Iowa,74
Kansas,82
Kentucky,67
Louisiana,69
Maine,91
Maryland,95
Massachusetts,83
Michigan,79
Minnesota,85
Mississippi,65
Missouri,74
Montana,80
Nebraska,76
Nevada,100
New Hampshire,89
New Jersey,90
New Mexico,70
New York,83
North Carolina,80
North Dakota,91
Ohio,71
Oklahoma,71
Oregon,78
Pennsylvania,81
Rhode Island,82
South Carolina,76
South Dakota,92
Tennessee,75
Texas,78
Utah,76
Vermont,99
Virginia,96
Washington,81
West Virginia,83
Wisconsin,83
Wyoming,79
